_type;_tags_highway;_tags_direction;_lon;_lat;_id
node;traffic_signals;;-73.2138145;-39.7966831;9337716357
node;traffic_signals;;-73.2195447;-39.8114418;9338341309
node;traffic_signals;;-73.2195366;-39.8113189;9338539917
node;traffic_signals;forward;-73.219839;-39.8114211;9338539920
node;traffic_signals;;-73.2220098;-39.8133504;9338562539
node;traffic_signals;;-73.2219345;-39.8133422;9338562540
node;traffic_signals;forward;-73.2220675;-39.8132793;9338562541
node;traffic_signals;forward;-73.2217306;-39.8132757;9338562551
node;traffic_signals;;-73.2216834;-39.8130769;9338562552
node;traffic_signals;backward;-73.2260704;-39.8161343;9340461493
node;traffic_signals;;-73.2260309;-39.8162992;9340461495
node;traffic_signals;;-73.2259096;-39.8161411;9340461496
node;traffic_signals;;-73.2259193;-39.8160783;9340520625
node;traffic_signals;;-73.2305388;-39.8196014;9340606801
node;traffic_signals;;-73.2303667;-39.8193259;9340606802
node;traffic_signals;;-73.230618;-39.819377;9340606803
node;traffic_signals;;-73.2302371;-39.8195244;9340606804
node;traffic_signals;;-73.2314547;-39.8200059;9340728258
node;traffic_signals;;-73.2312549;-39.8202032;9340728259
node;traffic_signals;;-73.2311906;-39.8200038;9340728261
node;traffic_signals;;-73.232404;-39.8190123;9340825498
node;traffic_signals;;-73.2325051;-39.8191969;9340825499
node;traffic_signals;;-73.2322263;-39.8183357;9340825503
node;traffic_signals;;-73.2320491;-39.8183057;9340825504
node;traffic_signals;;-73.2320622;-39.8186097;9340825505
node;traffic_signals;;-73.2319049;-39.8184312;9340825506
node;traffic_signals;;-73.2348707;-39.8169224;9340825508
node;traffic_signals;;-73.2348684;-39.8168521;9340825509
node;traffic_signals;;-73.2347017;-39.8168329;9340825510
node;traffic_signals;forward;-73.2350728;-39.8235097;9340825514
node;traffic_signals;backward;-73.235349;-39.8234696;9340825515
node;traffic_signals;;-73.235214;-39.8232618;9340825516
node;traffic_signals;;-73.235219;-39.8235228;9340849917
node;traffic_signals;;-73.2393917;-39.813376;9340857390
node;traffic_signals;;-73.2391692;-39.8132327;9340857391
node;traffic_signals;;-73.239454;-39.8132631;9340857392
node;traffic_signals;;-73.2365579;-39.81572;9340857403
node;traffic_signals;;-73.2368726;-39.8159045;9340857404
node;traffic_signals;;-73.2364549;-39.8160051;9340857405
node;traffic_signals;;-73.2277401;-39.8239225;9340936964
node;traffic_signals;;-73.227709;-39.8241283;9340936965
node;traffic_signals;;-73.2273919;-39.8240418;9340936966
node;traffic_signals;;-73.2166128;-39.8325612;9341864422
node;traffic_signals;;-73.2153528;-39.8334617;9341864429
node;traffic_signals;;-73.2155693;-39.8335489;9341864430
node;traffic_signals;;-73.2154421;-39.8336483;9341864431
node;traffic_signals;;-73.2153527;-39.8336006;9341864432
node;traffic_signals;;-73.2194039;-39.8304993;9341864439
node;traffic_signals;;-73.2191201;-39.8304892;9341864440
node;traffic_signals;;-73.2193968;-39.830387;9341864441
node;traffic_signals;;-73.2222147;-39.8279965;9341864471
node;traffic_signals;forward;-73.2056895;-39.8413515;9343593285
node;traffic_signals;;-73.2056719;-39.8414678;9343593286
node;traffic_signals;;-73.2059246;-39.8414023;9343593287
node;traffic_signals;;-73.2077736;-39.8398439;9343593306
node;traffic_signals;;-73.2075892;-39.8398877;9343593307
node;traffic_signals;forward;-73.2100259;-39.8381683;9343607450
node;traffic_signals;backward;-73.2097438;-39.8379762;9343607451
node;traffic_signals;;-73.2165828;-39.8344439;9343607491
node;traffic_signals;;-73.2166765;-39.834366;9343607492
node;traffic_signals;;-73.2167433;-39.8343999;9343607493
node;traffic_signals;;-73.2166349;-39.8344754;9343607494
node;traffic_signals;;-73.202364;-39.8444893;9344059207
node;traffic_signals;;-73.2020612;-39.8444453;9344059208
node;traffic_signals;;-73.2024543;-39.844258;9344059209
node;traffic_signals;;-73.2319686;-39.8451536;9346775279
node;traffic_signals;;-73.2322227;-39.8447369;9346775280
node;traffic_signals;;-73.2323126;-39.8450576;9346775281
node;traffic_signals;;-73.2318743;-39.8448345;9346775282
node;traffic_signals;;-73.2523453;-39.8108475;9347296454
node;traffic_signals;;-73.2522444;-39.8109711;9347296455
node;traffic_signals;;-73.2520666;-39.8109219;9347296456
node;traffic_signals;;-73.2524155;-39.8109219;9347296457
node;traffic_signals;;-73.2292957;-39.837984;9350641537
node;traffic_signals;;-73.2294757;-39.8381727;9350641538
node;traffic_signals;;-73.2295887;-39.8380747;9350641539
node;traffic_signals;;-73.2339075;-39.8374732;9350641559
node;traffic_signals;;-73.2336733;-39.8378066;9350641560
node;traffic_signals;;-73.2340085;-39.8376715;9350641561
node;traffic_signals;;-73.2335436;-39.8376168;9350641562
node;traffic_signals;;-73.2408133;-39.833531;9350641563
node;traffic_signals;;-73.2411246;-39.8335291;9350641564
node;traffic_signals;;-73.2407323;-39.8337385;9350641565
node;traffic_signals;;-73.2410315;-39.8337867;9350641566
