_type;_tags_shelter;_tags_public_transport;_tags_network;_tags_name;_tags_highway;_tags_departures_board;_tags_bus;_tags_bench;_lon;_lat;_id
node;;platform;;;bus_stop;;yes;;-73.2228893;-39.8273204;3181249814
node;;platform;;P568-Los Lingues/Acario Cotapos;bus_stop;;yes;;-73.2583873;-39.8119579;3658975266
node;;platform;;P17 - Independencia / Chacabuco;bus_stop;no;yes;;-73.246802;-39.8132579;4328522359
node;;platform;;5;bus_stop;;yes;;-73.2398521;-39.8249071;4328570572
node;;platform;;;bus_stop;;yes;;-73.2362349;-39.8160034;4328666247
node;yes;platform;20 - 9 - 11 -3;P77 - Picarte / Coronel Stgo.Bueras - Barros Arana;bus_stop;;yes;yes;-73.2278137;-39.823619;4352124374
node;;platform;;Sargento Bueras/Lider;bus_stop;;yes;;-73.2369535;-39.8283201;4354489241
node;;platform;;1,3;bus_stop;;yes;;-73.2492501;-39.8196052;4432908947
node;yes;platform;Regional de Movilidad;1, 3;bus_stop;yes;yes;;-73.2480077;-39.8232813;4432912414
node;;platform;;1, 3;bus_stop;;yes;;-73.2501358;-39.8243141;4432951320
node;;platform;;;bus_stop;;yes;;-73.2408297;-39.8301027;4432999947
node;;platform;;MTC Picarte alt. 3981;bus_stop;;yes;;-73.1983185;-39.8474646;4444432391
node;yes;platform;;Hospital alt. 1618;bus_stop;;yes;no;-73.2388734;-39.8304488;4444442900
node;yes;platform;;1, 3;bus_stop;;yes;yes;-73.2476382;-39.8191566;4444467598
node;;platform;;Aníbal Pinto alt. 1900;bus_stop;;yes;;-73.2396291;-39.8256636;4444468096
node;;platform;;MTC Picarte alt.3981;bus_stop;;yes;;-73.1982391;-39.8477398;4444499189
node;;platform;;P51 - Arauco / García Reyes;bus_stop;;yes;;-73.2401618;-39.8162749;4452515790
node;yes;platform;;P76 - Picarte / Fuentes - Baquedano;bus_stop;;yes;;-73.2292332;-39.8223448;4452515791
node;yes;platform;;P71 - Picarte / Condell;bus_stop;;yes;yes;-73.2331521;-39.8178059;4452520090
node;;platform;;Pedro Montt alt. 1810;bus_stop;;yes;;-73.2353865;-39.827542;4452520091
node;;platform;;;bus_stop;;yes;;-73.2284622;-39.8426348;4455199828
node;;platform;;;bus_stop;;yes;;-73.2280257;-39.8440053;4455216830
node;;platform;;;bus_stop;;yes;;-73.2362695;-39.8441405;4484729882
node;;platform;;;bus_stop;;yes;;-73.2316441;-39.8447316;4524122405
node;;platform;;;bus_stop;;yes;;-73.2095167;-39.8114025;4570812990
node;;platform;;;bus_stop;;yes;;-73.2555908;-39.8153027;4576069304
node;yes;platform;;Puente Estancilla;bus_stop;;yes;;-73.2906816;-39.843519;4715874495
node;;platform;;P506-Los Robles/Los Lingues;bus_stop;;yes;;-73.2570986;-39.8101507;4715877790
node;;platform;;Ruta T-350 / Av. Siete;bus_stop;;yes;;-73.280943;-39.8387803;4715888490
node;;platform;;Pedro Montt alt. 1200;bus_stop;;yes;;-73.2323054;-39.8446484;4736636901
node;;platform;;2;bus_stop;;yes;;-73.246571;-39.8282463;4836738623
node;;platform;;2;bus_stop;;yes;;-73.2443632;-39.8197387;4836738624
node;;platform;;2;bus_stop;;yes;;-73.2446777;-39.8210018;4836738626
node;;platform;;2;bus_stop;;yes;;-73.2449726;-39.8220202;4836738627
node;;platform;;1, 3, 9, 11;bus_stop;;yes;;-73.2397596;-39.8148903;4836738630
node;;platform;;P510-Ruta T-350/Cruce T-340;bus_stop;no;yes;;-73.2704635;-39.831705;5262482240
node;;platform;;;bus_stop;;yes;;-73.2344778;-39.8506495;5287744505
node;;platform;;;bus_stop;;yes;;-73.2365129;-39.8502005;5287744507
node;;platform;;;bus_stop;;yes;;-73.2384026;-39.8498744;5287744509
node;;platform;;;bus_stop;;yes;;-73.2396422;-39.8498146;5287744510
node;;platform;;;bus_stop;;yes;;-73.2381477;-39.8496631;5287744513
