_type;_tags_wifi;_tags_name;_tags_building;_tags_amenity;_tags_addr:street;_tags_addr:state;_tags_addr:housenumber;_tags_addr:housename;_tags_addr:district;_tags_addr:country;_tags_addr:city;_nodes;_lon;_lat;_id;_geometry_centroid_lon;_geometry_centroid_lat;_geometry;_bounds_minlon;_bounds_minlat;_bounds_maxlon;_bounds_maxlat
way;;MásRío;yes;pub;Esmeralda;Región de Los Ríos;;;Valdivia;CL;Valdivia;[7316764457, 7316764458, 7316764459, 7316764460, 7316764467, 7316764461, 7316764462, 7316764463, 7316764457];;;783426868;-73.24434828067116;-39.815952978163125;[{'lat': -39.815888, 'lon': -73.2443983}, {'lat': -39.8159008, 'lon': -73.2443045}, {'lat': -39.8159245, 'lon': -73.24431}, {'lat': -39.8159284, 'lon': -73.2442706}, {'lat': -39.8160079, 'lon': -73.2442959}, {'lat': -39.8160158, 'lon': -73.244298}, {'lat': -39.8160036, 'lon': -73.244386}, {'lat': -39.8159812, 'lon': -73.2444197}, {'lat': -39.815888, 'lon': -73.2443983}];-73.2444197;-39.8160158;-73.2442706;-39.815888
way;;;yes;pub;Esmeralda;Región de Los Ríos;;;Valdivia;CL;Valdivia;[7316764464, 7316764465, 7316764466, 7316764467, 7316764460, 7316764464];;;783426869;-73.2442283565123;-39.81595104807104;[{'lat': -39.8158767, 'lon': -73.2442541}, {'lat': -39.8158942, 'lon': -73.2441608}, {'lat': -39.8160254, 'lon': -73.2442026}, {'lat': -39.8160079, 'lon': -73.2442959}, {'lat': -39.8159284, 'lon': -73.2442706}, {'lat': -39.8158767, 'lon': -73.2442541}];-73.2442959;-39.8160254;-73.2441608;-39.8158767
way;;El Gordito;;pub;Bombero Classing;Región de Los Ríos;;;Valdivia;CL;Valdivia;[8735033719, 8735033720, 8735033721, 8735033722, 8735033723, 8735033719];;;943385359;-73.22234304364228;-39.81319420390211;[{'lat': -39.8131945, 'lon': -73.2224243}, {'lat': -39.8131306, 'lon': -73.2223358}, {'lat': -39.8131798, 'lon': -73.2222756}, {'lat': -39.8132072, 'lon': -73.2222769}, {'lat': -39.8132578, 'lon': -73.2223469}, {'lat': -39.8131945, 'lon': -73.2224243}];-73.2224243;-39.8132578;-73.2222756;-39.8131306
node;;Bar Doña Inés;;bar;Carampangue;Región de Los Ríos;190;Casino Mundo Dreams;Valdivia;CL;Valdivia;;-73.2460862;-39.8116677;529774160;;;;;;;
node;;Lucky 7;;bar;Carampangue;Región de Los Ríos;190;Casino Mundo Dreams;Valdivia;CL;Valdivia;;-73.2462354;-39.8115282;1314280646;;;;;;;
node;;Sky Bar;;bar;Carampangue;Región de Los Ríos;190;Casino Mundo Dreams;Valdivia;CL;Valdivia;;-73.2465722;-39.8114858;1314280647;;;;;;;
node;;Pub Restobar Strike;;bar;Carampangue;Región de Los Ríos;208;Casino Mundo Dreams;Valdivia;CL;Valdivia;;-73.2455649;-39.8117776;1314281558;;;;;;;
node;;La Bribona Restobar;;bar;Arauco;Región de Los Ríos;102;;Valdivia;CL;Valdivia;;-73.2478228;-39.8147747;1371719353;;;;;;;
node;;Bar;;bar;;;;;;;;;-73.2102209;-39.8384801;1613830857;;;;;;;
node;;Madero Restobar;;bar;;;;;;;;;-73.2447515;-39.8094455;1689112719;;;;;;;
node;;Phoenix;;bar;;;;;;;Valdivia;;-73.2482913;-39.8089877;1761748528;;;;;;;
node;;Club Sala Murano;;bar;Camilo Henríquez;Región de Los Ríos;648;;Valdivia;CL;Valdivia;;-73.2454896;-39.8158518;3672250811;;;;;;;
node;;Río Bar;;bar;Avenida Alemania;Región de Los Ríos;290;;Valdivia;CL;Valdivia;;-73.2452357;-39.812541;4286211010;;;;;;;
node;;Punto de Quiebre;;bar;;;;;;;;;-73.2453353;-39.8118555;4286218704;;;;;;;
node;;Café Bar Escorpión Rojo;;bar;Avenida Alemania;Región de Los Ríos;;;Valdivia;CL;Valdivia;;-73.2444015;-39.8124687;4330169882;;;;;;;
node;;La Moneda;;bar;Camilo Henríquez;Región de Los Ríos;436;;Valdivia;CL;Valdivia;;-73.2451662;-39.8133962;4330189151;;;;;;;
node;;Musstang;;bar;Caupolicán;Región de Los Ríos;588;;Valdivia;CL;Valdivia;;-73.2441475;-39.8152226;4367830691;;;;;;;
node;;Stop Over Restobar;;bar;Lord Cochrane;Región de Los Ríos;391;;Valdivia;CL;Valdivia;;-73.245374;-39.8195029;4588507613;;;;;;;
node;;Don Rucio;;bar;Caupolicán;Región de Los Ríos;270;;Valdivia;CL;Valdivia;;-73.2433368;-39.8119383;6190595588;;;;;;;
node;;Cervecería Mawida;;bar;Isla Guacamayo;Región de Los Ríos;2244;;Valdivia;CL;Valdivia;;-73.2332279;-39.8324789;7884252886;;;;;;;
node;;Club Ibiza;;bar;Camilo Henríquez;;;;;;Valdivia;;-73.2450671;-39.8128163;12507634180;;;;;;;
node;;Al Yugo;;bar;Avenida Alemania;;;;;;Valdivia;;-73.2449529;-39.8123959;12507634181;;;;;;;
way;;Shot Karaoke;yes;bar;Esmeralda;Región de Los Ríos;657;;Valdivia;CL;Valdivia;[1920826818, 1920826819, 1920826823, 1920826826, 1920826812, 1920826818];;;181669943;-73.24437411091553;-39.81615682871696;[{'lat': -39.8160852, 'lon': -73.2444389}, {'lat': -39.8160893, 'lon': -73.2443826}, {'lat': -39.8161449, 'lon': -73.2442861}, {'lat': -39.8162217, 'lon': -73.2442987}, {'lat': -39.8161992, 'lon': -73.2444548}, {'lat': -39.8160852, 'lon': -73.2444389}];-73.2444548;-39.8162217;-73.2442861;-39.8160852
way;;Bar Gamer;yes;bar;Beauchef;Región de Los Ríos;;;Valdivia;CL;Valdivia;[4337927889, 5007582536, 4337927890, 4337927891, 4337927892, 4337927889];;;435898979;-73.24325713013458;-39.81649338522251;[{'lat': -39.8164701, 'lon': -73.2433806}, {'lat': -39.8165562, 'lon': -73.2431954}, {'lat': -39.8165639, 'lon': -73.2431789}, {'lat': -39.8164732, 'lon': -73.2431677}, {'lat': -39.8164438, 'lon': -73.2433753}, {'lat': -39.8164701, 'lon': -73.2433806}];-73.2433806;-39.8165639;-73.2431677;-39.8164438
way;;City Bar;yes;bar;Esmeralda;Región de Los Ríos;;;Valdivia;CL;Valdivia;[4337940553, 4337940554, 10309696206, 10309696207, 10309696208, 10309700909, 4337940555, 4337940556, 10309700911, 10309700912, 4337940553];;;435900193;-73.24376747997403;-39.816041286111265;[{'lat': -39.8161119, 'lon': -73.2438535}, {'lat': -39.8161305, 'lon': -73.2437478}, {'lat': -39.8161026, 'lon': -73.2437394}, {'lat': -39.8161075, 'lon': -73.2437116}, {'lat': -39.8160151, 'lon': -73.2436839}, {'lat': -39.8160104, 'lon': -73.2437102}, {'lat': -39.8159662, 'lon': -73.2436969}, {'lat': -39.8159472, 'lon': -73.2438042}, {'lat': -39.8160049, 'lon': -73.2438213}, {'lat': -39.8161068, 'lon': -73.2438521}, {'lat': -39.8161119, 'lon': -73.2438535}];-73.2438535;-39.8161305;-73.2436839;-39.8159472
way;;Bimba;yes;bar;Independencia;Región de Los Ríos;543;;Valdivia;CL;Valdivia;[10785303168, 10785303162, 10785303161, 4343825012, 4343825013, 1493160991, 10785303152, 10785303153, 10785303168];;;436494491;-73.24732765365181;-39.81429350801815;[{'lat': -39.8142122, 'lon': -73.2475209}, {'lat': -39.8142354, 'lon': -73.2473748}, {'lat': -39.8142466, 'lon': -73.2473072}, {'lat': -39.8142778, 'lon': -73.2471086}, {'lat': -39.8143743, 'lon': -73.2471343}, {'lat': -39.8143381, 'lon': -73.2473653}, {'lat': -39.8143185, 'lon': -73.2474901}, {'lat': -39.8143099, 'lon': -73.2475452}, {'lat': -39.8142122, 'lon': -73.2475209}];-73.2475452;-39.8143743;-73.2471086;-39.8142122
way;;1960;yes;bar;Santiago Bueras;Región de Los Ríos;;;Valdivia;CL;Valdivia;[4585521272, 10226422822, 10226422821, 4585521273, 10226421815, 10226421814, 4585521274, 4585521275, 4585521272];;;463267573;-73.24785711602213;-39.82801364314255;[{'lat': -39.8279451, 'lon': -73.2479235}, {'lat': -39.8279649, 'lon': -73.2478364}, {'lat': -39.8279449, 'lon': -73.2478288}, {'lat': -39.8279606, 'lon': -73.2477599}, {'lat': -39.828006, 'lon': -73.2477767}, {'lat': -39.8280087, 'lon': -73.2477654}, {'lat': -39.8280897, 'lon': -73.2477982}, {'lat': -39.8280512, 'lon': -73.2479643}, {'lat': -39.8279451, 'lon': -73.2479235}];-73.2479643;-39.8280897;-73.2477599;-39.8279449
way;;Casa Lastenia;house;bar;Avenida Los Robles;Región de Los Ríos;;;Valdivia;CL;Valdivia;[5855471587, 5855471588, 5855471589, 5855471590, 5855471591, 5855471592, 5855471587];;;619631422;-73.2516179016823;-39.81122431052972;[{'lat': -39.8111526, 'lon': -73.2516772}, {'lat': -39.8111761, 'lon': -73.2515362}, {'lat': -39.8112989, 'lon': -73.2515709}, {'lat': -39.8112787, 'lon': -73.2516917}, {'lat': -39.8112074, 'lon': -73.2516715}, {'lat': -39.811204, 'lon': -73.2516918}, {'lat': -39.8111526, 'lon': -73.2516772}];-73.2516918;-39.8112989;-73.2515362;-39.8111526
way;;Animeños;house;bar;Pedro Aguirre Cerda;Región de Los Ríos;;;Valdivia;CL;Valdivia;[7199458733, 7199458734, 7199458735, 7199458736, 7199458733];;;771222199;-73.22521923333333;-39.8153981;[{'lat': -39.8153981, 'lon': -73.2253273}, {'lat': -39.8153151, 'lon': -73.2252192}, {'lat': -39.8153981, 'lon': -73.2251112}, {'lat': -39.8154811, 'lon': -73.2252192}, {'lat': -39.8153981, 'lon': -73.2253273}];-73.2253273;-39.8154811;-73.2251112;-39.8153151
way;;;yes;bar;Carampangue;Región de Los Ríos;640;;Valdivia;CL;Valdivia;[7938832496, 7938832497, 7938832498, 7938832499, 7938832496];;;851088956;-73.24011564999999;-39.81278065;[{'lat': -39.8128077, 'lon': -73.2401898}, {'lat': -39.8127225, 'lon': -73.2401474}, {'lat': -39.8127536, 'lon': -73.2400415}, {'lat': -39.8128388, 'lon': -73.2400839}, {'lat': -39.8128077, 'lon': -73.2401898}];-73.2401898;-39.8128388;-73.2400415;-39.8127225
