_type;_tags_wikipedia;_tags_wikidata;_tags_website;_tags_name;_tags_int_name;_tags_description;_tags_building;_tags_amenity;_tags_addr:street;_tags_addr:state;_tags_addr:housenumber;_tags_addr:district;_tags_addr:country;_tags_addr:city;_lon;_lat;_id
way;;;;Escuela México;;;;school;Ramon Picarte;Región de Los Ríos;1212;Valdivia;CL;Valdivia;;;128037979
way;;;;Liceo Rector Armando Robles;;;;school;Arauco;Región de Los Ríos;474;Valdivia;CL;Valdivia;;;130942760
way;;;;Colegio Los Torreones;;;yes;school;;;;;CL;;;;136016157
way;;;;Colegio María Auxiliadora;;;;school;Avenida Ramón Picarte;Región de Los Ríos;1092;Valdivia;CL;Valdivia;;;136018347
way;;;;Escuela España;;;;school;Beauchef;Región de Los Ríos;975;Valdivia;CL;Valdivia;;;136018367
way;;;;Príncipe de Asturias;;;;school;Santiago Bueras;Región de Los Ríos;620;Valdivia;CL;Valdivia;;;149697318
way;;;;Escuela Especial de Lenguaje San Miguel;;;;school;Avenida René Schneider;Región de Los Ríos;4000;Valdivia;CL;Valdivia;;;161806505
way;;;;El Molino (Esc. Integrada de Artes);;;;school;Avenida Simpson;Región de Los Ríos;1458;Valdivia;CL;Valdivia;;;181684356
way;;;;Colegio Holanda;;;;school;Brasil;Región de Los Ríos;;Valdivia;CL;Valdivia;;;208823796
way;;;;;;;;school;;;;;;;;;208825517
way;;;;Escuela Angachilla;;;;school;Avenida René Schneider;Región de Los Ríos;3770;Valdivia;CL;Valdivia;;;288671797
way;;;;Escuela Especial Peque Lines;;;;school;Avenida René Schneider;Región de Los Ríos;3760;Valdivia;CL;Valdivia;;;288675553
way;;;;Liceo Santa María La Blanca;;;;school;Arauco;Región de Los Ríos;642;Valdivia;CL;Valdivia;;;290267282
way;;;;Escuela Chile;;;;school;Ramón Picarte;Región de Los Ríos;679;Valdivia;CL;Valdivia;;;290267285
way;;;;Escuela Popular Bernardo Yeffi;;;;school;General Alberto Montecino Caro;Región de Los Ríos;;Valdivia;CL;Valdivia;;;295173990
way;;;https://www.colegioaliwen.cl/;Colegio Aliwen;;;;school;General Lagos;Región de Los Ríos;1704;Valdivia;CL;Valdivia;;;306366553
way;;;;Colegio Alemania;;;;school;Los Pelúes;;200;;;Valdivia;;;361423843
way;;;;Escuela de Lenguaje Educarte;;;;school;Guallipen;Región de Los Ríos;2546;Valdivia;CL;Valdivia;;;439916943
way;;;;Colegio Laura Vicuña;;;;school;General Alberto Montecino Caro;Región de Los Ríos;4051;Valdivia;CL;Valdivia;;;459051410
way;;;;Colegio Adventista de Valdivia;;;;school;Errázuriz;Región de Los Ríos;2565;Valdivia;CL;Valdivia;;;546413462
