_type;_tags_wikipedia;_tags_wikidata;_tags_wheelchair;_tags_website;_tags_usage;_tags_train;_tags_start_date;_tags_source;_tags_railway:ref;_tags_railway;_tags_public_transport;_tags_passenger_lines;_tags_operator;_tags_network;_tags_name;_tags_gauge;_tags_electrified;_tags_check_date;_tags_baby_feeding;_tags_alt_name;_tags_air_conditioning;_tags_addr:street;_tags_addr:housenumber;_tags_addr:city;_nodes;_lon;_lat;_id;_geometry_centroid_lon;_geometry_centroid_lat;_geometry;_bounds_minlon;_bounds_minlat;_bounds_maxlon;_bounds_maxlat
way;;;;;main;;;;;rail;;1;;;Línea Central Sur;1676;no;;;Línea Troncal Sur;;;;;[2039529023, 5869602904, 8826157916, 672572161, 1999320592, 8446164028, 8870035459, 8870035457, 8870035458, 8870035456, 672572160, 8870035466, 8870035465, 1999320594, 8870035464, 8870035463, 1515920425, 8870035462, 8870035461, 1515920427, 8870035460, 672572157, 672572158, 7223175546, 672572156, 1999320637, 10122761382, 672572155, 672572154, 7383413992, 7383350781, 6981177525, 5416510980, 7383413993, 5416520187, 5416520153, 7383382861, 5416523027, 672572152, 672572151];;;193434596;-72.56285830635466;-38.72429926999689;[{'lat': -38.7181048, 'lon': -72.5565749}, {'lat': -38.7183461, 'lon': -72.5567404}, {'lat': -38.7184308, 'lon': -72.5567985}, {'lat': -38.7196261, 'lon': -72.557618}, {'lat': -38.7220262, 'lon': -72.5592639}, {'lat': -38.7222741, 'lon': -72.5594473}, {'lat': -38.72304, 'lon': -72.5600007}, {'lat': -38.7232322, 'lon': -72.5601398}, {'lat': -38.7234229, 'lon': -72.5602824}, {'lat': -38.7236001, 'lon': -72.560419}, {'lat': -38.7237759, 'lon': -72.5605586}, {'lat': -38.7239235, 'lon': -72.5606923}, {'lat': -38.7240679, 'lon': -72.5608315}, {'lat': -38.724209, 'lon': -72.5609761}, {'lat': -38.7243455, 'lon': -72.5611247}, {'lat': -38.7244785, 'lon': -72.5612784}, {'lat': -38.724608, 'lon': -72.561437}, {'lat': -38.7248074, 'lon': -72.561693}, {'lat': -38.7250021, 'lon': -72.5619547}, {'lat': -38.7251921, 'lon': -72.5622221}, {'lat': -38.7253564, 'lon': -72.5624636}, {'lat': -38.7255169, 'lon': -72.5627093}, {'lat': -38.7261779, 'lon': -72.5638192}, {'lat': -38.7267634, 'lon': -72.5648025}, {'lat': -38.7284253, 'lon': -72.5675826}, {'lat': -38.7296128, 'lon': -72.5695921}, {'lat': -38.7297689, 'lon': -72.569856}, {'lat': -38.7307702, 'lon': -72.5715483}, {'lat': -38.7316017, 'lon': -72.5727011}, {'lat': -38.7321705, 'lon': -72.5733454}, {'lat': -38.7327462, 'lon': -72.5739863}, {'lat': -38.7329975, 'lon': -72.574266}, {'lat': -38.7332313, 'lon': -72.5745214}, {'lat': -38.7336204, 'lon': -72.5749607}, {'lat': -38.733983, 'lon': -72.5753648}, {'lat': -38.734454, 'lon': -72.5758817}, {'lat': -38.7345934, 'lon': -72.5760792}, {'lat': -38.7350737, 'lon': -72.5766698}, {'lat': -38.7357415, 'lon': -72.5775309}, {'lat': -38.7368523, 'lon': -72.5787494}];-72.5787494;-38.7368523;-72.5565749;-38.7181048
way;;;;;main;;;;;rail;;1;;;Línea Central Sur;1676;no;;;Línea Troncal Sur;;;;;[1999320589, 2039529023];;;193434597;-72.55646974999999;-38.71795145;[{'lat': -38.7177981, 'lon': -72.5563646}, {'lat': -38.7181048, 'lon': -72.5565749}];-72.5565749;-38.7181048;-72.5563646;-38.7177981
way;;;;;main;;;;;rail;;1;;;Línea Central Sur;1676;no;;;Línea Troncal Sur;;;;;[728171610, 728171600, 728171601, 728171602, 728171603, 728171605, 728171606, 9165263373, 728171608, 728171609, 728171597, 728171598, 728171599, 728171596, 728171595, 728171594, 728171593];;;312651338;-72.58821871149811;-38.75236587537312;[{'lat': -38.751071, 'lon': -72.5876125}, {'lat': -38.7515751, 'lon': -72.5876521}, {'lat': -38.7517107, 'lon': -72.5876741}, {'lat': -38.7518593, 'lon': -72.5877152}, {'lat': -38.7519643, 'lon': -72.587756}, {'lat': -38.7521134, 'lon': -72.5878107}, {'lat': -38.7522192, 'lon': -72.5878584}, {'lat': -38.752363, 'lon': -72.5879151}, {'lat': -38.7524032, 'lon': -72.5879473}, {'lat': -38.7525467, 'lon': -72.5880451}, {'lat': -38.7527627, 'lon': -72.5882259}, {'lat': -38.7529429, 'lon': -72.5883827}, {'lat': -38.7531169, 'lon': -72.5885624}, {'lat': -38.7531912, 'lon': -72.5886305}, {'lat': -38.753273, 'lon': -72.5887238}, {'lat': -38.7533758, 'lon': -72.5888564}, {'lat': -38.7535096, 'lon': -72.589112}];-72.589112;-38.7535096;-72.5876125;-38.751071
way;;;;;main;;;;;rail;;1;;;Línea Central Sur;1676;no;;;Línea Troncal Sur;;;;;[3208096257, 4156641996, 8826407537, 672572164, 672572162, 1999320589];;;314762549;-72.55467644006283;-38.715393996028354;[{'lat': -38.71142, 'lon': -72.551924}, {'lat': -38.7125491, 'lon': -72.5527032}, {'lat': -38.7131723, 'lon': -72.5531354}, {'lat': -38.7136774, 'lon': -72.5534856}, {'lat': -38.7161359, 'lon': -72.5551614}, {'lat': -38.7177981, 'lon': -72.5563646}];-72.5563646;-38.7177981;-72.551924;-38.71142
way;;;;;main;;;;;rail;;1;;;Línea Central Sur;1676;no;;;Línea Troncal Sur;;;;;[672572163, 3208096257];;;314762550;-72.55190859999999;-38.71139839999999;[{'lat': -38.7113768, 'lon': -72.5518932}, {'lat': -38.71142, 'lon': -72.551924}];-72.551924;-38.71142;-72.5518932;-38.7113768
way;;;;;;;;;;rail;;;;;;1676;no;;;;;;;;[7383413985, 7383413986, 7383413987, 8541047060, 7383413990, 5416486313, 7383413991, 5416486853, 5416523033, 5416487045, 5416486831];;;561780620;-72.57553273864411;-38.73439414387293;[{'lat': -38.7325827, 'lon': -72.5737289}, {'lat': -38.7327516, 'lon': -72.5738738}, {'lat': -38.7329928, 'lon': -72.5741205}, {'lat': -38.7330487, 'lon': -72.5741794}, {'lat': -38.7334056, 'lon': -72.5745555}, {'lat': -38.7338193, 'lon': -72.5749566}, {'lat': -38.7340024, 'lon': -72.5751114}, {'lat': -38.7344376, 'lon': -72.5754923}, {'lat': -38.7344838, 'lon': -72.5755352}, {'lat': -38.7347096, 'lon': -72.5757874}, {'lat': -38.735695, 'lon': -72.5768951}];-72.5768951;-38.735695;-72.5737289;-38.7325827
way;;;;;;;;;;rail;;;;;;1676;no;;;;;;;;[5416486837, 5416487043, 5416486919, 5416486838, 6148297022, 5416486881];;;561780625;-72.58095237920826;-38.73891768072496;[{'lat': -38.7393122, 'lon': -72.5816355}, {'lat': -38.7390465, 'lon': -72.5811018}, {'lat': -38.7388773, 'lon': -72.5808299}, {'lat': -38.7387075, 'lon': -72.5805973}, {'lat': -38.7385508, 'lon': -72.5803587}, {'lat': -38.7384567, 'lon': -72.5802327}];-72.5816355;-38.7393122;-72.5802327;-38.7384567
way;;;;;;;;;;rail;;;;;;1676;no;;;;;;;;[5416486910, 5416486899, 7383413998, 5416523037];;;561780627;-72.57736246634107;-38.73618144456404;[{'lat': -38.737323, 'lon': -72.578641}, {'lat': -38.7362599, 'lon': -72.5774396}, {'lat': -38.7360328, 'lon': -72.5771923}, {'lat': -38.7347167, 'lon': -72.575732}];-72.578641;-38.737323;-72.575732;-38.7347167
way;;;;;;;;;;rail;;;;;;1676;no;;;;;;;;[5416486848, 7383382864, 5416486843, 5416510992, 7383413991];;;561780629;-72.57681889016516;-38.73556079539273;[{'lat': -38.737811, 'lon': -72.5793209}, {'lat': -38.7359816, 'lon': -72.5772688}, {'lat': -38.7346029, 'lon': -72.5757337}, {'lat': -38.7342593, 'lon': -72.5753803}, {'lat': -38.7340024, 'lon': -72.5751114}];-72.5793209;-38.737811;-72.5751114;-38.7340024
way;;;;;;;;;;rail;;;;;;1676;no;;;;;;;;[8557086142, 5416486821, 5416487023];;;561780630;-72.57978659999999;-38.73818893333333;[{'lat': -38.737965, 'lon': -72.5794112}, {'lat': -38.7382147, 'lon': -72.579822}, {'lat': -38.7383871, 'lon': -72.5801266}];-72.5801266;-38.7383871;-72.5794112;-38.737965
