_type;_tags_source:addr;_tags_short_name;_tags_name;_tags_amenity;_tags_addr:street;_tags_addr:state;_tags_addr:housenumber;_tags_addr:district;_tags_addr:country;_tags_addr:city;_lon;_lat;_id
way;;;Liceo Emprender;school;Pasaje Sirio;Región de La Araucanía;2431;Temuco;CL;Temuco;;;788036018
way;;;Colegio Emprender;school;Milano;Región de La Araucanía;2025;Temuco;CL;Temuco;;;788036019
way;;;Colegio Adventista;school;Avenida Los Creadores;Región de La Araucanía;0280;Temuco;CL;Temuco;;;907536392
way;;;Colegio Augusto Winter;school;Cacique Cheuquellán;Región de La Araucanía;01781;Temuco;CL;Temuco;;;908092988
way;;;Escuela Municipal Standard;school;Manuel Antonio Matta;Región de La Araucanía;0151;Temuco;CL;Temuco;;;908871578
way;;;Colegio Providencia;school;General Cruz;Región de La Araucanía;0198;Temuco;CL;Temuco;;;908871579
way;;;Escuela Especial Retardo Mental Claret;school;Ministro Zenteno;Región de La Araucanía;401;Temuco;CL;Temuco;;;909284397
way;;;Escuela Municipal F487 V. Turingia;school;;;;;;;;;909665288
way;;;Liceo Presidente Anibal Pinto;school;Ecuador;Región de La Araucanía;1750;Temuco;CL;Temuco;;;909789425
way;;;Escuela Manuel Montt;school;Manuel Montt;Región de La Araucanía;1535;Temuco;CL;Temuco;;;910045245
way;;;Saint Patrick School;school;Avenida General Prieto Norte;;36;Temuco;CL;Temuco;;;912498260
way;;;;school;;;;;;;;;913195304
way;;;Escuela Municipal Manuel Recabarren;school;;;;;;;;;913197914
way;;;Escuela Mundo Mágico;school;Uruguay;Región de La Araucanía;1450;Temuco;CL;Temuco;;;914407175
way;;;Escuela Villa Alegre;school;Concepción;Región de La Araucanía;1210;Temuco;CL;Temuco;;;914407184
way;;;Colegio Anglicano para Niños Sordos;school;Avenida Las Encinas;Región de La Araucanía;01590;Temuco;CL;Temuco;;;914737838
way;;;Escuela San Francisco de Asís;school;San Ernesto;Región de La Araucanía;1098;Temuco;CL;Temuco;;;914737847
way;;;Colegio Scole Creare;school;Avenida Gabriela Mistral;Región de La Araucanía;01670;Temuco;CL;Temuco;;;915540359
way;;;Colegio las Américas;school;Chivilcán;Región de La Araucanía;0680;Temuco;CL;Temuco;;;915831962
way;;;Escuela "Villa Carolina";school;Boyeco;Región de La Araucanía;0561;Temuco;CL;Temuco;;;915831980
way;;;Escuela Municipal Mono Paine;school;Chivilcán;Región de La Araucanía;0890;Temuco;CL;Temuco;;;915832013
way;;;Colegio de Aplicación;school;Colchane;Región de La Araucanía;02220;Temuco;CL;Temuco;;;917563820
way;;;Complejo Educacional La Frontera;school;;;;;;;;;917815526
way;;;Colegio Betania;school;Claudio Vicuña;Región de La Araucanía;01150;Temuco;CL;Temuco;;;921447362
way;;;Escuela Arturo Arriagada;school;Las Panteras;Región de La Araucanía;01396;Temuco;CL;Temuco;;;923200190
way;;;Liceo Comercial del Desarrollo;school;Los Mapaches;Región de La Araucanía;1896;Temuco;CL;Temuco;;;923200191
way;;;Escuela Municipal Pedro de Valdivia;school;Avenida Pedro de Valdivia;Región de La Araucanía;0991;Temuco;CL;Temuco;;;928881120
way;;;Liceo Javiera Carrera;school;Las Heras;Región de La Araucanía;754;Temuco;CL;Temuco;;;1065105529
way;;;Colegio Siglo XXI;school;Avenida General Prieto Norte;Región de La Araucanía;290;Temuco;CL;Temuco;;;1065114335
way;;;Escuela Botrolhue;school;;;;;;;;;1140894584
way;;;Escuela Particular Vista Verde;school;Las Grullas;;2750;;;;;;1193479251
way;;;Liceo Bicentenario de Temuco;school;Avenida Caupolicán;;105;;;;;;1214239257
way;;;Escuela Particular Luis Israel;school;Huichahue;;1000;;;Padre Las Casas;;;1290639649
way;;;Escuela Particular N° 508 Claudio Matte;school;Callejón Chispa;;15-A;;;Temuco;;;1319361712
node;www.sii.cl, Cartografía Digital SII Mapas;;Universidad de Aconcagua Temuco;university;Las Heras;Región de La Araucanía;558;Temuco;CL;Temuco;-72.5959295;-38.7381883;8546386649
node;;;Universidad la República Temuco;university;Dreves;;988;;CL;Temuco;-72.6049058;-38.7411955;11125121533
way;;;Universidad Católica de Temuco (Campus San Francisco);university;Manuel Montt;Región de La Araucanía;56;Temuco;CL;Temuco;;;51571009
way;;;Universidad de la Frontera (Facultad de Medicina);university;Claro Solar;Región de La Araucanía;115;Temuco;CL;Temuco;;;51653558
way;;;Universidad Católica de Temuco Campus Dr. Luis Rivas del Canto;university;Avenida Rudecindo Ortega;Región de La Araucanía;03690;Temuco;CL;Temuco;;;90744896
way;;;Universidad Católica de Temuco Campus Norte San Juan Pablo II;university;Avenida Rudecindo Ortega;Región de La Araucanía;02950;Temuco;CL;Temuco;;;140002915
way;;;Universidad Mayor;university;Avenida Alemania;;0281;Temuco;CL;Temuco;;;251078605
way;;;Universidad Santo Tomás Temuco;university;Manuel Rodríguez;;060;Temuco;CL;Temuco;;;251078612
way;;;Universidad Autónoma de Chile;university;Avenida Alemania;;01090;Temuco;CL;Temuco;;;333200529
way;;;Campus Monseñor Alejandro Mechaca Lira;university;Avenida Alemania;Región de La Araucanía;0422;Temuco;CL;Temuco;;;408315953
way;;;Universidad de La Frontera;university;Arturo Prat;Región de La Araucanía;331;Temuco;CL;Temuco;;;921742885
relation;;;Universidad de La Frontera;university;Francisco Salazar;;01145;Temuco;CL;Temuco;;;4296616
