_type;_tags_wikipedia;_tags_wikidata;_tags_surface;_tags_ref;_tags_operator:type;_tags_operator;_tags_old_name;_tags_name;_tags_icao;_tags_iata;_tags_check_date;_tags_building;_tags_alt_name;_tags_aeroway;_tags_addr:city;_nodes;_id;_geometry_centroid_lon;_geometry_centroid_lat;_geometry;_bounds_minlon;_bounds_minlat;_bounds_maxlon;_bounds_maxlat
way;;;;;;;;;;;;;;taxiway;;[9378328279, 9378328278, 9378328277, 9378328276, 9378328275, 9378328274];1016786323;-72.63871796173085;-38.76957878796703;[{'lat': -38.76967, 'lon': -72.6388692}, {'lat': -38.7696088, 'lon': -72.6386357}, {'lat': -38.7695905, 'lon': -72.6386196}, {'lat': -38.7695633, 'lon': -72.6386189}, {'lat': -38.7695193, 'lon': -72.6386417}, {'lat': -38.7694739, 'lon': -72.638686}];-72.6388692;-38.76967;-72.6386189;-38.7694739
way;;;;;;;;;;;;;;taxiway;;[9378328291, 9378328290, 9378328289, 9378328288, 9378328287];1016786324;-72.6381909102671;-38.76924428035291;[{'lat': -38.769288, 'lon': -72.638438}, {'lat': -38.7692957, 'lon': -72.6383688}, {'lat': -38.7692951, 'lon': -72.6383326}, {'lat': -38.7692913, 'lon': -72.6382803}, {'lat': -38.7691471, 'lon': -72.6378317}];-72.638438;-38.7692957;-72.6378317;-38.7691471
way;;;;;;;;;;;;;;taxiway;;[9378328293, 9378328305, 9378328291, 9378328292];1016786325;-72.63845196311566;-38.76928280466466;[{'lat': -38.7692186, 'lon': -72.6386509}, {'lat': -38.7692595, 'lon': -72.6385284}, {'lat': -38.769288, 'lon': -72.638438}, {'lat': -38.7693693, 'lon': -72.6381797}];-72.6386509;-38.7693693;-72.6381797;-38.7692186
way;;;;;;;;;;;;;;taxiway;;[9378328302, 9378328301, 9378328300, 9378328295, 9378328294, 9378328299, 9378328298, 9378328297, 9378328296];1016786326;-72.6385878670609;-38.76957445433142;[{'lat': -38.7697055, 'lon': -72.6386002}, {'lat': -38.7696846, 'lon': -72.638566}, {'lat': -38.7696527, 'lon': -72.6385412}, {'lat': -38.7696072, 'lon': -72.6385217}, {'lat': -38.7695758, 'lon': -72.6385247}, {'lat': -38.7695429, 'lon': -72.6385425}, {'lat': -38.7695, 'lon': -72.6385733}, {'lat': -38.7694702, 'lon': -72.6386263}, {'lat': -38.7693855, 'lon': -72.6386659}];-72.6386659;-38.7697055;-72.6385217;-38.7693855
way;;;;;;;;;;;;;;taxiway;;[9378328745, 9378328308, 9378328307, 9378328306, 9378328305, 9378328304, 9378328303];1016786327;-72.63847747751049;-38.76928152599476;[{'lat': -38.7694012, 'lon': -72.6384319}, {'lat': -38.7693703, 'lon': -72.6384801}, {'lat': -38.7693327, 'lon': -72.6385123}, {'lat': -38.7692998, 'lon': -72.6385237}, {'lat': -38.7692595, 'lon': -72.6385284}, {'lat': -38.769214, 'lon': -72.638511}, {'lat': -38.769153, 'lon': -72.6384567}];-72.6385284;-38.7694012;-72.6384319;-38.769153
way;;;;;;;;;;;;;;taxiway;;[9378328313, 9378328312, 9378328311, 9378328310, 9378328309];1016786328;-72.63874924388162;-38.76938021624129;[{'lat': -38.7695319, 'lon': -72.6387759}, {'lat': -38.7694467, 'lon': -72.6387417}, {'lat': -38.7693698, 'lon': -72.6387303}, {'lat': -38.7692867, 'lon': -72.6387329}, {'lat': -38.7692257, 'lon': -72.6387453}];-72.6387759;-38.7695319;-72.6387303;-38.7692257
way;;;;;;;;;;;;;;taxiway;;[9378328723, 9378328722, 9378328721, 9378328720, 9378328719, 9378328718, 9378328717, 9378328316, 9378328315, 9378328314];1016786329;-72.63876354810816;-38.76920667577637;[{'lat': -38.7693062, 'lon': -72.6389272}, {'lat': -38.7692689, 'lon': -72.6388724}, {'lat': -38.7692355, 'lon': -72.6388422}, {'lat': -38.769191, 'lon': -72.6388208}, {'lat': -38.7691424, 'lon': -72.6388188}, {'lat': -38.7690871, 'lon': -72.6388245}, {'lat': -38.7691445, 'lon': -72.6387745}, {'lat': -38.769168, 'lon': -72.6387289}, {'lat': -38.7691889, 'lon': -72.6386444}, {'lat': -38.7691906, 'lon': -72.6385679}];-72.6389272;-38.7693062;-72.6385679;-38.7690871
way;;;;;;;;;;;;;;taxiway;;[9378328731, 9378328726, 9378328725, 9378328724];1016786330;-72.63781368143505;-38.76889090862128;[{'lat': -38.7689578, 'lon': -72.6378793}, {'lat': -38.7689186, 'lon': -72.6378223}, {'lat': -38.768869, 'lon': -72.6377875}, {'lat': -38.7688017, 'lon': -72.637745}];-72.6378793;-38.7689578;-72.637745;-38.7688017
way;;;;;;;;;;;;;;taxiway;;[9378328302, 9378328279, 9378328739, 9378328738, 9378328737, 9378328736, 9378328735, 9378328734, 9378328733, 9378328723, 9378328732, 9378328293, 9378328314, 9378328303, 9378328731, 9378328730, 9378328729, 9378328728, 9378328727];1016786331;-72.63845583151777;-38.76934074585827;[{'lat': -38.7697055, 'lon': -72.6386002}, {'lat': -38.76967, 'lon': -72.6388692}, {'lat': -38.7696511, 'lon': -72.6389851}, {'lat': -38.769625, 'lon': -72.6390374}, {'lat': -38.7695769, 'lon': -72.6390843}, {'lat': -38.7695298, 'lon': -72.6391192}, {'lat': -38.7694441, 'lon': -72.6391125}, {'lat': -38.7693782, 'lon': -72.6390696}, {'lat': -38.7693332, 'lon': -72.6390146}, {'lat': -38.7693062, 'lon': -72.6389272}, {'lat': -38.769244, 'lon': -72.638726}, {'lat': -38.7692186, 'lon': -72.6386509}, {'lat': -38.7691906, 'lon': -72.6385679}, {'lat': -38.769153, 'lon': -72.6384567}, {'lat': -38.7689578, 'lon': -72.6378793}, {'lat': -38.7689411, 'lon': -72.6378143}, {'lat': -38.7689396, 'lon': -72.6377399}, {'lat': -38.7689641, 'lon': -72.6376802}, {'lat': -38.7690122, 'lon': -72.637632}];-72.6391192;-38.7697055;-72.637632;-38.7689396
way;;;;;;;;;;;;;;taxiway;;[9378328760, 9378328759, 9378328758, 9378328757, 9378328756, 9378328755, 9378328781];1016786332;-72.63858544670414;-38.76749602161744;[{'lat': -38.7674501, 'lon': -72.638802}, {'lat': -38.7674464, 'lon': -72.6387061}, {'lat': -38.7674506, 'lon': -72.6386243}, {'lat': -38.7674704, 'lon': -72.6385519}, {'lat': -38.7675065, 'lon': -72.6384748}, {'lat': -38.7675423, 'lon': -72.6384381}, {'lat': -38.7675798, 'lon': -72.6384007}];-72.638802;-38.7675798;-72.6384007;-38.7674464
way;;;;;;;;;;;;;;taxiway;;[9378328782, 9378328774, 9378328773, 9378328772, 9378328771, 9378328770, 9378328769, 9378328768];1016786333;-72.64132759510262;-38.76844214401144;[{'lat': -38.7686133, 'lon': -72.6412934}, {'lat': -38.7685762, 'lon': -72.6413481}, {'lat': -38.7685446, 'lon': -72.6413706}, {'lat': -38.7685086, 'lon': -72.6413883}, {'lat': -38.7684578, 'lon': -72.6413977}, {'lat': -38.7683895, 'lon': -72.6413836}, {'lat': -38.7683297, 'lon': -72.6413468}, {'lat': -38.76826, 'lon': -72.6412685}];-72.6413977;-38.7686133;-72.6412685;-38.76826
way;;;concrete;06/24;;;;;;;;;;runway;;[493140103, 1041863739, 9378328768, 9378328760, 1041863904, 9378328761, 1041864093, 9378328258, 1041863770, 493140104];40605839;-72.65625503949289;-38.77318149982541;[{'lat': -38.7699124, 'lon': -72.6463003}, {'lat': -38.7687066, 'lon': -72.6426283}, {'lat': -38.76826, 'lon': -72.6412685}, {'lat': -38.7674501, 'lon': -72.638802}, {'lat': -38.7673477, 'lon': -72.6384904}, {'lat': -38.7672637, 'lon': -72.6382346}, {'lat': -38.7665896, 'lon': -72.6361818}, {'lat': -38.7664063, 'lon': -72.6356236}, {'lat': -38.7641542, 'lon': -72.6287658}, {'lat': -38.7639028, 'lon': -72.6280001}];-72.6463003;-38.7699124;-72.6280001;-38.7639028
way;es:Aeródromo Maquehue;Q1030915;unpaved;;;;;07/25;;;;;;runway;;[5028264834, 5028264835];514748814;-72.63145485;-38.76725465;[{'lat': -38.7681206, 'lon': -72.634985}, {'lat': -38.7663887, 'lon': -72.6279247}];-72.634985;-38.7681206;-72.6279247;-38.7663887
way;;;;;;;;;;;;;;helipad;;[6332227281, 6332227280, 6332227279, 6332227278, 6332227281];676156661;-72.54307429999999;-38.72216435000001;[{'lat': -38.7221151, 'lon': -72.5431224}, {'lat': -38.7222032, 'lon': -72.5431362}, {'lat': -38.7222136, 'lon': -72.5430262}, {'lat': -38.7221255, 'lon': -72.5430124}, {'lat': -38.7221151, 'lon': -72.5431224}];-72.5431362;-38.7222136;-72.5430124;-38.7221151
way;;;;;;;;Hospital Regional de Temuco Heliport;;;;;;helipad;;[11645946948, 11645946946, 11645946945, 11645946944, 11645946943, 11645946942, 11645946941, 11645946940, 11645946939, 11645946938, 11645946947, 11645946937, 11645946936, 11645946935, 1042138183, 11645946934, 11645946933, 11645946932, 11645946931, 11645946930, 11645946948];1252919189;-72.59863691632668;-38.73605294551925;[{'lat': -38.7361003, 'lon': -72.5987425}, {'lat': -38.7361234, 'lon': -72.5987186}, {'lat': -38.7361397, 'lon': -72.5986867}, {'lat': -38.7361474, 'lon': -72.5986499}, {'lat': -38.7361459, 'lon': -72.5986119}, {'lat': -38.7361353, 'lon': -72.5985762}, {'lat': -38.7361167, 'lon': -72.5985466}, {'lat': -38.7360918, 'lon': -72.5985258}, {'lat': -38.7360631, 'lon': -72.5985158}, {'lat': -38.7360334, 'lon': -72.5985177}, {'lat': -38.7360056, 'lon': -72.5985313}, {'lat': -38.7359825, 'lon': -72.5985552}, {'lat': -38.7359662, 'lon': -72.5985872}, {'lat': -38.7359585, 'lon': -72.598624}, {'lat': -38.73596, 'lon': -72.598662}, {'lat': -38.7359706, 'lon': -72.5986976}, {'lat': -38.7359892, 'lon': -72.5987273}, {'lat': -38.7360141, 'lon': -72.5987481}, {'lat': -38.7360428, 'lon': -72.598758}, {'lat': -38.7360725, 'lon': -72.5987561}, {'lat': -38.7361003, 'lon': -72.5987425}];-72.598758;-38.7361474;-72.5985158;-38.7359585
