_type;_tags_highway;_lon;_lat;_id
node;traffic_signals;-72.5854528;-38.7348551;1515623958
node;traffic_signals;-72.5839711;-38.7350955;1515623961
node;traffic_signals;-72.5826567;-38.7352864;1515623963
node;traffic_signals;-72.5880198;-38.7344835;1515891219
node;traffic_signals;-72.5893005;-38.739568;1993227061
node;traffic_signals;-72.5909139;-38.7404149;1993227118
node;traffic_signals;-72.5895652;-38.7406186;1993227126
node;traffic_signals;-72.5991427;-38.7464249;1999553553
node;traffic_signals;-72.591676;-38.7435216;2073678079
node;traffic_signals;-72.603226;-38.7611513;2566570687
node;traffic_signals;-72.6026969;-38.7609599;3035649493
node;traffic_signals;-72.585035;-38.7725267;3036374987
node;traffic_signals;-72.5801471;-38.7356901;3049517960
node;traffic_signals;-72.677909;-38.7614683;3081631787
node;traffic_signals;-72.647225;-38.7571129;3111754179
node;traffic_signals;-72.6357238;-38.755177;3111780237
node;traffic_signals;-72.5985365;-38.7381906;3161397008
node;traffic_signals;-72.5890457;-38.7439329;3161397009
node;traffic_signals;-72.6325893;-38.7548458;3237246040
node;traffic_signals;-72.6113033;-38.7406031;4635448630
node;traffic_signals;-72.6205435;-38.7186778;5172315127
node;traffic_signals;-72.5845538;-38.7371331;5304317147
node;traffic_signals;-72.5783176;-38.7278251;6045359766
node;traffic_signals;-72.6004144;-38.7335934;6106993585
node;traffic_signals;-72.6120067;-38.7535328;6113557694
node;traffic_signals;-72.6011329;-38.7368616;6120066854
node;traffic_signals;-72.5737921;-38.7253854;6148210289
node;traffic_signals;-72.6060975;-38.7536921;6231252742
node;traffic_signals;-72.6363726;-38.7435236;7935010881
node;traffic_signals;-72.6012041;-38.7398612;7943000771
node;traffic_signals;-72.6010634;-38.7369051;7943364014
node;traffic_signals;-72.5587197;-38.7112028;8432716154
node;traffic_signals;-72.5590029;-38.7113467;8432716155
node;traffic_signals;-72.5588736;-38.7110106;8432716156
node;traffic_signals;-72.5625256;-38.7143547;8435010810
node;traffic_signals;-72.5625045;-38.7145056;8435010811
node;traffic_signals;-72.562411;-38.7145207;8435010813
node;traffic_signals;-72.5608753;-38.7183793;8435689163
node;traffic_signals;-72.5609268;-38.718229;8435689164
node;traffic_signals;-72.5672697;-38.7188635;8435689178
node;traffic_signals;-72.5671153;-38.7188218;8435689179
node;traffic_signals;-72.567327;-38.7187495;8435689180
node;traffic_signals;-72.5626527;-38.7143708;8437744697
node;traffic_signals;-72.567886;-38.7192241;8437744698
node;traffic_signals;-72.5678216;-38.7192213;8437744699
node;traffic_signals;-72.5700052;-38.7214974;8439087524
node;traffic_signals;-72.5702208;-38.7213265;8439087525
node;traffic_signals;-72.5702058;-38.7215622;8439087526
node;traffic_signals;-72.5700168;-38.7212438;8439087527
node;traffic_signals;-72.5740169;-38.7253608;8439249364
node;traffic_signals;-72.5737699;-38.7253081;8439249365
node;traffic_signals;-72.5741021;-38.7252574;8439249366
node;traffic_signals;-72.5742662;-38.7251681;8439249367
node;traffic_signals;-72.5742245;-38.7252907;8439249368
node;traffic_signals;-72.5963558;-38.7374961;8441716525
node;traffic_signals;-72.596543;-38.7375268;8441716526
node;traffic_signals;-72.5965421;-38.7374106;8441716527
node;traffic_signals;-72.5951999;-38.736603;8441716548
node;traffic_signals;-72.5950427;-38.7367239;8441716549
node;traffic_signals;-72.5948584;-38.7365123;8441716550
node;traffic_signals;-72.5931182;-38.7358242;8441716559
node;traffic_signals;-72.5933647;-38.7358351;8441716560
node;traffic_signals;-72.5933222;-38.7357023;8441716561
node;traffic_signals;-72.5918497;-38.735027;8441716563
node;traffic_signals;-72.591973;-38.7349348;8441716564
node;traffic_signals;-72.5917974;-38.7348884;8441716565
node;traffic_signals;-72.5907982;-38.7342805;8441716567
node;traffic_signals;-72.5909556;-38.7345516;8441716568
node;traffic_signals;-72.5907491;-38.7343213;8441716569
node;traffic_signals;-72.590069;-38.7341548;8441716570
node;traffic_signals;-72.5902418;-38.7341795;8441716571
node;traffic_signals;-72.5902745;-38.7340696;8441716572
node;traffic_signals;-72.5890805;-38.7334355;8441716574
node;traffic_signals;-72.5892846;-38.7336718;8441716575
node;traffic_signals;-72.5892155;-38.7336965;8441716576
node;traffic_signals;-72.5888789;-38.7332748;8441716578
node;traffic_signals;-72.5891066;-38.7334113;8441716580
node;traffic_signals;-72.5887359;-38.7332491;8441716582
node;traffic_signals;-72.5887073;-38.7333592;8441716583
node;traffic_signals;-72.5882992;-38.7331441;8441716584
node;traffic_signals;-72.5880606;-38.733112;8441716585
node;traffic_signals;-72.5882917;-38.7330017;8441716586
node;traffic_signals;-72.5860722;-38.7320556;8441716685
node;traffic_signals;-72.5859799;-38.7316832;8441716686
node;traffic_signals;-72.586122;-38.7319831;8441716687
node;traffic_signals;-72.5858334;-38.7316872;8441716688
node;traffic_signals;-72.5803896;-38.7366644;8442631895
node;traffic_signals;-72.6027288;-38.7609794;8455375684
node;traffic_signals;-72.6026727;-38.7609842;8455375685
node;traffic_signals;-72.6027364;-38.7608741;8455375686
node;traffic_signals;-72.6092042;-38.7649441;8455627680
node;traffic_signals;-72.6093444;-38.764884;8455627681
node;traffic_signals;-72.6094203;-38.7649837;8455627682
node;traffic_signals;-72.609143;-38.7648551;8455627683
node;traffic_signals;-72.5909913;-38.7609663;8461525020
node;traffic_signals;-72.5908738;-38.7610277;8461525021
node;traffic_signals;-72.5890931;-38.7737331;8463555101
node;traffic_signals;-72.5891703;-38.7735659;8463555102
node;traffic_signals;-72.5911221;-38.7610343;8463649025
node;traffic_signals;-72.5854322;-38.7726077;8463667524
node;traffic_signals;-72.5850849;-38.7726653;8463667525
node;traffic_signals;-72.5854105;-38.7725174;8463667526
node;traffic_signals;-72.5893009;-38.7736971;8464657594
node;traffic_signals;-72.5889792;-38.7736031;8464657595
node;traffic_signals;-72.6094781;-38.7288711;8467845866
node;traffic_signals;-72.6065119;-38.7297899;8476326641
node;traffic_signals;-72.6065853;-38.7297015;8476326642
node;traffic_signals;-72.6067435;-38.7298396;8476326643
