_type;_tags_wheelchair;_tags_toilets:wheelchair;_tags_shop;_tags_name;_tags_building;_tags_brand:wikidata;_tags_brand;_tags_amenity;_tags_addr:street;_tags_addr:housenumber;_tags_addr:housename;_tags_addr:district;_tags_addr:country;_tags_addr:city;_nodes;_lon;_lat;_id;_geometry_centroid_lon;_geometry_centroid_lat;_geometry;_bounds_minlon;_bounds_minlat;_bounds_maxlon;_bounds_maxlat
way;;;;Centro de Reparto Chilexpress;warehouse;;;post_office;Avenida Caupolicán;1217;;Temuco;CL;Temuco;[3819532427, 3819532428, 3819532429, 3819532430, 3819532431, 3819532432, 3819532433, 3819532434, 3819532427];;;378538849;-72.58131590312277;-38.729005569274555;[{'lat': -38.7290973, 'lon': -72.5812478}, {'lat': -38.7291265, 'lon': -72.5813101}, {'lat': -38.7290945, 'lon': -72.5813348}, {'lat': -38.729115, 'lon': -72.5813786}, {'lat': -38.7289865, 'lon': -72.5814776}, {'lat': -38.7288832, 'lon': -72.5812573}, {'lat': -38.7290124, 'lon': -72.5811577}, {'lat': -38.729066, 'lon': -72.5812719}, {'lat': -38.7290973, 'lon': -72.5812478}];-72.5814776;-38.7291265;-72.5811577;-38.7288832
way;;;;;warehouse;;;;;;;;;;[3819595671, 3819595674, 3819595672, 3819595673, 3819595681, 3819595678, 3819595671];;;378545193;-72.60890960898412;-38.77060822533558;[{'lat': -38.7705052, 'lon': -72.6085529}, {'lat': -38.7706291, 'lon': -72.6085321}, {'lat': -38.7707127, 'lon': -72.609263}, {'lat': -38.7705869, 'lon': -72.6092872}, {'lat': -38.7705762, 'lon': -72.6091933}, {'lat': -38.7705162, 'lon': -72.6086618}, {'lat': -38.7705052, 'lon': -72.6085529}];-72.6092872;-38.7707127;-72.6085321;-38.7705052
way;;;;;warehouse;;;;;;;;;;[3819595674, 3819595675, 3819595676, 3819595677, 3819595672, 3819595674];;;378545194;-72.60892987595628;-38.7707275082621;[{'lat': -38.7706291, 'lon': -72.6085321}, {'lat': -38.7707279, 'lon': -72.6085189}, {'lat': -38.7708294, 'lon': -72.6093086}, {'lat': -38.7707207, 'lon': -72.6093318}, {'lat': -38.7707127, 'lon': -72.609263}, {'lat': -38.7706291, 'lon': -72.6085321}];-72.6093318;-38.7708294;-72.6085189;-38.7706291
way;;;;Biosal;warehouse;;;;;;;;;;[3819595682, 3819595683, 3819595684, 3819595685, 3819595688, 3819595686, 3819595687, 3819595682];;;378545197;-72.60887432280833;-38.77028239598118;[{'lat': -38.7702267, 'lon': -72.6086569}, {'lat': -38.7702564, 'lon': -72.6086549}, {'lat': -38.7702564, 'lon': -72.6085187}, {'lat': -38.7703214, 'lon': -72.6085065}, {'lat': -38.7703267, 'lon': -72.6087667}, {'lat': -38.7703356, 'lon': -72.6091956}, {'lat': -38.7702374, 'lon': -72.6091976}, {'lat': -38.7702267, 'lon': -72.6086569}];-72.6091976;-38.7703356;-72.6085065;-38.7702267
way;;;;;warehouse;;;;;;;;;;[3819595688, 3819595689, 3819595690, 3819595691, 3819595688];;;378545198;-72.60897554502077;-38.77038179484255;[{'lat': -38.7703267, 'lon': -72.6087667}, {'lat': -38.7703967, 'lon': -72.6087543}, {'lat': -38.7704482, 'lon': -72.6091603}, {'lat': -38.7703515, 'lon': -72.6091773}, {'lat': -38.7703267, 'lon': -72.6087667}];-72.6091773;-38.7704482;-72.6087543;-38.7703267
way;;;;;warehouse;;;;;;;;;;[10913376685, 10913376686, 10913376687, 10913376688, 10913376685];;;1174472726;-72.5465573;-38.69770799999999;[{'lat': -38.6977834, 'lon': -72.5467894}, {'lat': -38.6978952, 'lon': -72.5466326}, {'lat': -38.6976326, 'lon': -72.5463252}, {'lat': -38.6975208, 'lon': -72.546482}, {'lat': -38.6977834, 'lon': -72.5467894}];-72.5467894;-38.6978952;-72.5463252;-38.6975208
way;;;;Constructor Center;warehouse;;;;;;;;;;[11529716050, 11530921159, 3819595676, 3819595675, 11529716051, 11529716052, 11529716053, 11530921163, 11530921162, 11530921161, 11530921160, 11529716050];;;1240912964;-72.60886046643866;-38.7708920383436;[{'lat': -38.7708519, 'lon': -72.6093441}, {'lat': -38.7708345, 'lon': -72.6093478}, {'lat': -38.7708294, 'lon': -72.6093086}, {'lat': -38.7707279, 'lon': -72.6085189}, {'lat': -38.770768, 'lon': -72.6085104}, {'lat': -38.7709787, 'lon': -72.6084612}, {'lat': -38.7710585, 'lon': -72.6090951}, {'lat': -38.7709323, 'lon': -72.609131}, {'lat': -38.7709501, 'lon': -72.6092694}, {'lat': -38.7709227, 'lon': -72.6092752}, {'lat': -38.7709295, 'lon': -72.6093277}, {'lat': -38.7708519, 'lon': -72.6093441}];-72.6093478;-38.7710585;-72.6084612;-38.7707279
way;;;;Copeval;warehouse;;;;;;;;;;[11530921152, 11530921153, 11530921154, 11530921155, 11530921156, 11530921157, 11529716053, 11529716052, 11530921158, 11529716054, 11529716055, 11530921152];;;1240912965;-72.60868834670157;-38.77115538984909;[{'lat': -38.7713142, 'lon': -72.6086244}, {'lat': -38.7713213, 'lon': -72.6086808}, {'lat': -38.7713088, 'lon': -72.6086834}, {'lat': -38.7713154, 'lon': -72.6087355}, {'lat': -38.7712148, 'lon': -72.6087564}, {'lat': -38.7712523, 'lon': -72.609055}, {'lat': -38.7710585, 'lon': -72.6090951}, {'lat': -38.7709787, 'lon': -72.6084612}, {'lat': -38.7710816, 'lon': -72.6084399}, {'lat': -38.7710763, 'lon': -72.6083982}, {'lat': -38.7713381, 'lon': -72.6083453}, {'lat': -38.7713142, 'lon': -72.6086244}];-72.6090951;-38.7713381;-72.6083453;-38.7709787
way;;;;Muebles Santa Ana;warehouse;;;;;;;;;;[11598354324, 11598354325, 11702251782, 11702251781, 11702251780, 11598354324];;;1258849804;-72.57963926991117;-38.78117659484224;[{'lat': -38.7805661, 'lon': -72.5794836}, {'lat': -38.7811003, 'lon': -72.5789497}, {'lat': -38.7812613, 'lon': -72.5788047}, {'lat': -38.781805, 'lon': -72.5797021}, {'lat': -38.7810766, 'lon': -72.5805253}, {'lat': -38.7805661, 'lon': -72.5794836}];-72.5805253;-38.781805;-72.5788047;-38.7805661
way;;;;;warehouse;;;;;;;;;;[12697898907, 12697898908, 12697898909, 12697898910, 12697898911, 12697898912, 12697898907];;;1371022236;-72.60306038085804;-38.72829933332458;[{'lat': -38.7279933, 'lon': -72.6033934}, {'lat': -38.7281449, 'lon': -72.6025619}, {'lat': -38.7286007, 'lon': -72.6026985}, {'lat': -38.7284325, 'lon': -72.6036206}, {'lat': -38.7283107, 'lon': -72.6035841}, {'lat': -38.7283273, 'lon': -72.6034934}, {'lat': -38.7279933, 'lon': -72.6033934}];-72.6036206;-38.7286007;-72.6025619;-38.7279933
way;;;;;warehouse;;;;;;;;;;[12762212191, 12762212192, 12762212193, 12762212194, 12762212191];;;1378321534;-72.50398362613873;-38.68485253367403;[{'lat': -38.6847711, 'lon': -72.504008}, {'lat': -38.6849098, 'lon': -72.5040613}, {'lat': -38.6849327, 'lon': -72.5039611}, {'lat': -38.6847991, 'lon': -72.5039041}, {'lat': -38.6847711, 'lon': -72.504008}];-72.5040613;-38.6849327;-72.5039041;-38.6847711
way;;;kiosk;;retail;;;;;;;;;;[7284080296, 7284080297, 7284080298, 7284080299, 7284080296];;;780099050;-72.50945027100394;-38.681594479532194;[{'lat': -38.6815717, 'lon': -72.5094835}, {'lat': -38.6816166, 'lon': -72.5094835}, {'lat': -38.681618, 'lon': -72.5094162}, {'lat': -38.681571, 'lon': -72.5094189}, {'lat': -38.6815717, 'lon': -72.5094835}];-72.5094835;-38.681618;-72.5094162;-38.681571
way;;;mall;Galería Siles;retail;;;;;;;;;;[11787395087, 11787395097, 11787395095, 11787395098, 11787395091, 11787395089, 11787395088, 11787395094, 11787395087];;;1269106839;-72.58689145166981;-38.73705947844742;[{'lat': -38.7370632, 'lon': -72.587246}, {'lat': -38.7371018, 'lon': -72.5870066}, {'lat': -38.7369641, 'lon': -72.5869702}, {'lat': -38.7369874, 'lon': -72.586826}, {'lat': -38.7368584, 'lon': -72.5867919}, {'lat': -38.7368769, 'lon': -72.5866768}, {'lat': -38.7372012, 'lon': -72.5867626}, {'lat': -38.7371209, 'lon': -72.5872612}, {'lat': -38.7370632, 'lon': -72.587246}];-72.5872612;-38.7372012;-72.5866768;-38.7368584
